MarketKey;platform;market_level1;market_level2;market_level3
28d2b8b8ac6f4028b9f007e437370abff2eaeb93;basic market;construction equipment;earth & rock processing (drilling, tunelling, tren;rotating attachment - rotator 360° (attachment)
bebaa836f8dc15615754e616fbba9d05e768633c;key market;mining & quarry;ore extraction;continuous miner / roadheader (room & pilar mining)
3d25e51ae11267d1ada758d138702d3fed0a4fb3;basic market;material handling;unknown segment;unknown application
3f284a18ef3d0503e7dceb61c1feab4dc17f6620;truck & bus;on road;trailer - on road;on road trailer - self propelled modular trailer
cd92b421b3b9812738cd47276331df09752b30ed;key market;agriculture;wine, fruit, vegetable & cane equipment;vegetable harvester (self propelled)  (potato, sugar beet, …)
00ea896af72291c743b039f201bbf1797fb63650;basic market;leisure;mobile amusement;train for sightseeing
208b05b23f786c9131104428155a6b7d20a6841e;undefined;agriculture;livestock;undefined
ca17ac206b62a205d92eb23e65b2255c1401e226;basic market;environment;snow;ice skating surfacing machine
ca681b65e760ffceab03e000ed03f17770cb347a;basic market;leisure;other amusement;other leasure amusement equipment
1175a0b22c1078b08c1ed692a89764f8fcd94a87;basic market;on rail;railtrack infrastructure (construction or maintena;portable tools  (rail saw, rail grinder)
4e019656f736f67df221fc81c4986366840f1d34;basic market;marine;oil, gas & telecom (boats & offshore platforms);capstan , windlasses, cabestan
c060114014d8b7b391fde9f30285f7d615dca7c7;basic market;energy;power generation;gas turbine generator
0b7c3968247d690809242a04a918904521444774;undefined;environment;recycling;undefined
c4f54f83d396bb3c7764950b752b4b2adfac915c;basic market;construction equipment;earth & rock processing (drilling, tunelling, tren;other earth & rock processing (machine & attachment)
dc24da0a0694e51d769228a6cdf037f6bcf77d06;undefined;construction equipment;road construction & maintenance;undefined
62e69ec822f633abcb685045c29dd9691eefdf01;basic market;material handling;airport handling;other airport handling equipment
d8881d78e1f40d55a36c364e87e710475deb0615;industrial;construction equipment;earth & rock processing (drilling, tunelling, tren;tunnel boring machine (=tbm)
f6596d12d6e74584164619317c3ee6982f7a046a;basic market;construction equipment;concrete;concrete pavers
23415cb6245326b0712fad2248ebac91ae540d52;basic market;construction equipment;road construction & maintenance;asphalt & chips spreader (self propelled)
54017066ecbc9a811a170430dc1b53ac4f5150c4;undefined;military equipment;mobile equipment;undefined
57283fd104b5abdeabb67a9fa0b90c673193f47f;road machinery;construction equipment;compaction;tyre rollers compactor
46da6b1fd4173db42854b9cd97d17977346dafb5;basic market;mining & quarry;bulk / mineral handling;dumper/ haulage mining truck / ore transporter
b6b7a719c19522ef5e0199b91b8e75f4d7e74ec9;undefined;environment;snow;undefined
be8dd63917a4cbb9464c0de3ce74fab203b64f72;key market;agriculture;wine, fruit, vegetable & cane equipment;sugarcane harvester (self propelled)
436713b4ffcb9752e3da9d50dd52ba9c37e4e7b0;basic market;marine;oil, gas & telecom (boats & offshore platforms);mud agitator
adbdac51ffd5c184d2468d8d5448a86e37ca4d02;basic market;marine;dredging;dredger
c62bee01ed6aab83ea9903fb2819b1e87bac7409;basic market;agriculture;forestry;other forestry  equipment (knuckleboom loaders , edger, debarker, forestry winch
94f83fb0bd76d9bcfaefbcfd1a6b7f86d23bb0a3;basic market;marine;fishing;deck machinery (crane, windlasses, capstans)
ae2e7513aaa74add124c7b31ec0435a1443054f5;industrial;environment;recycling;fixed shredder
af1d8ec86678d6c59bd6039becb6d27995e486f5;combine harvesters;agriculture;cereals, cotton, & feed/forage harvesting;forage harvester (self propelled)
48558faff83a0ad670ec1a5ce4653f3914031465;sprayer & ag machines;agriculture;soil & crop treatment;sprayer (self propelled)
590e41884f17f4fd0fef1589158bf13842773d11;industrial;industry;mixers, silos and centrifugal equipment;asphalt  mixer plant
6e937e166fe2a5dbf7ffd51b59696a4f03ff5acb;basic market;mining & quarry;unknown segment;unknown application
5e031b5515fc6efb17a04c6e1138be441cf637c2;industrial;mining & quarry;rock processing;other mining & quarry rock processing equipment
66335b13b3b44d0e878c8903b2afdbfe6ae799e9;undefined;mining & quarry;bulk / mineral handling;undefined
aa157ffc0aa417f05521fd9bc37b571c3698ec8a;key market;agriculture;tractors & trailers;multipurpose tools carrier
6c6427e046d034be6450bb4c6beed91dd3552b79;undefined;leisure;other amusement;undefined
a70fe847efd6aa1933667a55d93982b3a2b6ec02;key market;mining & quarry;bulk / mineral handling;loader for underground mining (lhd)
df813c0e8d2617344250552f6e8bcba56dd9862e;road machinery;construction equipment;compaction;static drum self propelled compactor
4d47c08ebbda77b479169a3cd4a9386c0da2fb32;key market;agriculture;forestry;forestry trailer
a9071b9e54faba36db88122b2e05bb68e6b5e3ad;key market;agriculture;tractors & trailers;4 wheels tractor
d41973cd06c56c8a84d1b3748750ac82291c2a47;basic market;material handling;harbour & port handling;other harbour & port handling equipment (cranes)
177c6033db7d45b88b8e4bbac5de11aaac9b789b;key market;material handling;lifting;aerial work platforms / scissor lift
21a8d2db1167fc9f3780439f8e8ae02c0d79406b;basic market;agriculture;forestry;rotor & grapple  (attachment)
e765707d2aae63e4c927145ac0b8a36b5e6b7810;basic market;marine;other marine equipment;other marine equipment
4a8bfecf980e8ba4a1be786a71a49c1974b5ca43;basic market;mining & quarry;bulk / mineral handling;other bulk / mineral handling equipment
96a258c6e547090353b38e5d477e2f313723fcba;basic market;environment;recycling;other recycling / refuse equipment
f15e22636fc9df84debc1734019cf50df64b1f5d;undefined;agriculture;forestry;undefined
